image_path,merchant,ds,location,y,items,category,text,year,month,day,weekday,hour
F:\ai\ocr_recognition\dataset\train\images\en_1048.jpg,GUEST CHECK Butcher Boy Pte Ltd SingaporeSingapore089138 Emily-03/16/21 05:38PM TABLE:Out1 Dish/Set Menu Amount 1x Iberico Pork Belly $ 32.00 $ 12.00 1xPaoruda 1xCrispy Chicken $35.00 $79.00 SubTotal $7.90 SVC $ 86.90 TOTAL Thankyou!,2021-03-16 17:38:00,,7.9,Emily-03/16/21 05:38PM TABLE:Out1 Dish/Set Menu Amount 1x Iberico Pork Belly $; 1xPaoruda 1xCrispy Chicken; SubTotal,餐饮,GUEST CHECK Butcher Boy Pte Ltd SingaporeSingapore089138 Emily-03/16/21 05:38PM TABLE:Out1 Dish/Set Menu Amount 1x Iberico Pork Belly $ 32.00 $ 12.00 1xPaoruda 1xCrispy Chicken $35.00 $79.00 SubTotal $7.90 SVC $ 86.90 TOTAL Thankyou!,2021,3,16,1,17
F:\ai\ocr_recognition\dataset\train\images\en_1049.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-10/23/21 07:46PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi $18.00 SubTotal $18.00 SVC $1.80 TOTAL $19.80 Thankyou!",2021-10-23 19:46:00,,18.0,Emily-10/23/21 07:46PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi; SVC,其他,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-10/23/21 07:46PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi $18.00 SubTotal $18.00 SVC $1.80 TOTAL $19.80 Thankyou!",2021,10,23,5,19
F:\ai\ocr_recognition\dataset\train\images\en_1050.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-09/08/21 08:35PM TABLE:Out1 Dish/Set Menu Amount 1x Cuttlefish roll $15.00 1 xSteam pot chicken $21.00 SubTotal $36.00 SVC $3.60 $39.60 TOTAL Thankyou!",2021-09-08 20:35:00,,36.0,Emily-09/08/21 08:35PM TABLE:Out1 Dish/Set Menu Amount 1x Cuttlefish roll; xSteam pot chicken; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-09/08/21 08:35PM TABLE:Out1 Dish/Set Menu Amount 1x Cuttlefish roll $15.00 1 xSteam pot chicken $21.00 SubTotal $36.00 SVC $3.60 $39.60 TOTAL Thankyou!",2021,9,8,2,20
F:\ai\ocr_recognition\dataset\train\images\en_1051.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-02/14/21 06:48PM TABLE:Out1 Dish/Set Menu Amount $6.00 1x Crispy Fish Skin $15.00 1x Cuttlefish roll $18.00 1xDuck Banh Mi SubTotal $39.00 SVC $3.90 TOTAL $42.90 Thankyou!,2021-02-14 18:48:00,,39.0,/14/21 06:48PM TABLE:Out1 Dish/Set Menu Amount; Crispy Fish Skin; Cuttlefish roll; Duck Banh Mi SubTotal; TOTAL,餐饮,GUEST CHECK Butcher Boy Pte Ltd Emily-02/14/21 06:48PM TABLE:Out1 Dish/Set Menu Amount $6.00 1x Crispy Fish Skin $15.00 1x Cuttlefish roll $18.00 1xDuck Banh Mi SubTotal $39.00 SVC $3.90 TOTAL $42.90 Thankyou!,2021,2,14,6,18
F:\ai\ocr_recognition\dataset\train\images\en_1052.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-03/22/21 05:56PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi $18.00 1xPaoruda $12.00 1x Crispy Chicken $35.00 SubTotal $ 65.00 SVC $6.50 TOTAL $71.50 Thankyou!",2021-03-22 17:56:00,,71.5,Emily-03/22/21 05:56PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi; Paoruda; Crispy Chicken; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-03/22/21 05:56PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi $18.00 1xPaoruda $12.00 1x Crispy Chicken $35.00 SubTotal $ 65.00 SVC $6.50 TOTAL $71.50 Thankyou!",2021,3,22,0,17
F:\ai\ocr_recognition\dataset\train\images\en_1054.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-02/05/21 06:32PM TABLE:Out1 Dish/Set Menu Amount 1x Steam pot chicken $21.00 1x Cuttlefish roll $15.00 1x DuckBanh Mi $18.00 SubTotal $54.00 SVC $5.40 TOTAL $59.40 Thankyou!",2021-02-05 18:32:00,,54.0,Emily-02/05/21 06:32PM TABLE:Out1 Dish/Set Menu Amount 1x Steam pot chicken; Cuttlefish roll; DuckBanh Mi; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-02/05/21 06:32PM TABLE:Out1 Dish/Set Menu Amount 1x Steam pot chicken $21.00 1x Cuttlefish roll $15.00 1x DuckBanh Mi $18.00 SubTotal $54.00 SVC $5.40 TOTAL $59.40 Thankyou!",2021,2,5,4,18
F:\ai\ocr_recognition\dataset\train\images\en_1055.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/28/21 08:37PM TABLE:Out1 Dish/Set Menu Amount $21.00 1xSteampot chicken 1x Cuttlefish roll $15.00 1xPaoruda $12.00 $48.00 SubTotal SVC $4.80 TOTAL $52.80 Thankyou!",2021-01-28 20:37:00,,52.8,Emily-01/28/21 08:37PM TABLE:Out1 Dish/Set Menu Amount; Steampot chicken 1x Cuttlefish roll; Paoruda; SubTotal SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/28/21 08:37PM TABLE:Out1 Dish/Set Menu Amount $21.00 1xSteampot chicken 1x Cuttlefish roll $15.00 1xPaoruda $12.00 $48.00 SubTotal SVC $4.80 TOTAL $52.80 Thankyou!",2021,1,28,3,20
F:\ai\ocr_recognition\dataset\train\images\en_1056.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-09/23/21 08:05PM TABLE:Out1 Dish/Set Menu Amount 1xDuckBanh Mi $18.00 1xSteam pot chicken $21.00 $39.00 SubTotal $3.90 SVC $ 42.90 TOTAL Thankyou!,2021-09-23 20:05:00,,3.9,/23/21 08:05PM TABLE:Out1 Dish/Set Menu Amount 1xDuckBanh Mi; Steam pot chicken; SubTotal,餐饮,GUEST CHECK Butcher Boy Pte Ltd Emily-09/23/21 08:05PM TABLE:Out1 Dish/Set Menu Amount 1xDuckBanh Mi $18.00 1xSteam pot chicken $21.00 $39.00 SubTotal $3.90 SVC $ 42.90 TOTAL Thankyou!,2021,9,23,3,20
F:\ai\ocr_recognition\dataset\train\images\en_1057.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/15/21 08:28PM TABLE:Out1 Dish/Set Menu Amount 1x Chocolate Textures $ 12.00 $15.00 1x Cuttlefish roll $ 12.00 1xPaoruda $39.00 SubTotal $3.90 SVC $ 42.90 TOTAL Thankyou!",2021-01-15 20:28:00,,3.9,Emily-01/15/21 08:28PM TABLE:Out1 Dish/Set Menu Amount 1x Chocolate Textures $; 1x Cuttlefish roll $; Paoruda; SVC $,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/15/21 08:28PM TABLE:Out1 Dish/Set Menu Amount 1x Chocolate Textures $ 12.00 $15.00 1x Cuttlefish roll $ 12.00 1xPaoruda $39.00 SubTotal $3.90 SVC $ 42.90 TOTAL Thankyou!",2021,1,15,4,20
F:\ai\ocr_recognition\dataset\train\images\en_1058.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-06/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xPaoruda 1x Iberico Pork Belly $32.00 $12.00 1x Chocolate Textures $56.00 SubTotal $5.60 SVC $61.60 TOTAL Thankyou!",2021-06-21 18:58:00,,5.6,Emily-06/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount; Paoruda 1x Iberico Pork Belly; 1x Chocolate Textures; SVC,其他,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-06/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xPaoruda 1x Iberico Pork Belly $32.00 $12.00 1x Chocolate Textures $56.00 SubTotal $5.60 SVC $61.60 TOTAL Thankyou!",2021,6,21,0,18
