image_path,text,category
F:\ai\ocr_recognition\dataset\train\images\en_1000.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd DESCRIPTION QTY PRICE TOTAL $21.0 $42.0 drag suits 2 $25.0 $25.0 microkini $67.0 Total We will gladly exchange any unopened item with original receipt. We do not offer refunds 9119049310404127155400 03/29/2210:31,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1001.jpg,DOLLAR TREE Store# 4931 5499 S Williamson Blvd QTY PRICE TOTAL DESCRIPTION $25.0 $25.0 one-piece 1 $16.0 $16.0 tunic-cover up 1 $21.0 $21.0 racing suits $62.0 Total We will gladly exchange any unopened item with original receipt. We do not offer refunds. ★****★*** 9119049310404127155400 03/28/2215:34,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1002.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd. DESCRIPTION QTY PRICE TOTAL wetsuit and dry2 $21.0 $42.0 suit Total $42.0 We will gladly exchange any unopened item with original receipt. We do not offer refunds. 9119049310404127155400 03/31/2210:11,超市
F:\ai\ocr_recognition\dataset\train\images\en_1003.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd DESCRIPTION QTY PRICE TOTAL tunic-cover up 1 $16.0 $16.0 microkini $25.0 $25.0 1 $41.0 Total We will gladly exchange any unopened item with original receipt. We do not offer refunds 9119049310404127155400 03/30/2209:17,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1004.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd QTY PRICE TOTAL DESCRIPTION 1 $10.0 S10.0 swim briefs 2 $25.0 S50.0 one-piece $60.0 Total 911904931 0404127155400 03/29/2212:27,超市
F:\ai\ocr_recognition\dataset\train\images\en_1005.jpg,DOLLAR TREE Store#4931 5499S Williamson Blvd QTY PRICE TOTAL DESCRIPTION 1 $10.0 $10.0 jammer $16.0 $16.0 1 tunic-cover up $10.0 $10.0 1 swim briefs $36.0 Total We will gladly exchange any unopened item with original receipt.We do not offer refunds 9119049310404127155400 03/27/2218:21,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1006.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd. DESCRIPTION QTY PRICE TOTAL bandeaukini 1 $25.0 $25.0 tunic-cover up $16.0 $16.0 1 $41.0 Total We will gladly exchange any unopened item with original receipt.We do not offer refunds 9119049310404127155400 03/29/2211:36,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1007.jpg,DOLLARTREE Store#4931 5499 S Williamson Blvd QTY PRICE TOTAL DESCRIPTION 1 $25.0 $25.0 tankini $16.0 S32.0 2 sarongs-cover up $57.0 Total 9119049310404127155400 03/29/2212:27,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1008.jpg,DOLLAR TREE Store# 4931 5499 S Williamson Blvd. DESCRIPTION QTY PRICE TOTAL fundoshi 4 $10.0 $40.0 $21.0 $21.0 racing suits 1 $61.0 Total We will gladly exchange any unopened item 9119049310404127155400 03/29/2211:55,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1009.jpg,DOLLAR TREE Store#4931 5499 SWilliamson Blvd QTY PRICE TOTAL DESCRIPTION $21.0 $21.0 rush guard 1 wetsuit and dry $21.0 $21.0 suit $21.0 $21.0 drag suits 1 $63.0 Total 03/27/2211:02,购物 - 衣物
